Region 82 Avg IOU: 0.528965, Class: 0.418142, Obj: 0.000586, No Obj: 0.000114, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.587561, Class: 0.715072, Obj: 0.147735, No Obj: 0.000244, .5R: 0.750000, .75R: 0.000000,  count: 8
Region 106 Avg IOU: 0.695614, Class: 0.971263, Obj: 0.002439, No Obj: 0.000030, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000107, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.669599, Class: 0.790776, Obj: 0.067068, No Obj: 0.000135, .5R: 1.000000, .75R: 0.166667,  count: 6
Region 106 Avg IOU: 0.382895, Class: 0.997730, Obj: 0.062366, No Obj: 0.000035, .5R: 0.500000, .75R: 0.000000,  count: 2
3002: 0.804430, 0.721502 avg, 0.000010 rate, 10.053681 seconds, 192128 images
Loaded: 0.000059 seconds
Region 82 Avg IOU: 0.642431, Class: 0.522965, Obj: 0.005696, No Obj: 0.000156, .5R: 1.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.615659, Class: 0.670421, Obj: 0.142076, No Obj: 0.000127, .5R: 0.833333, .75R: 0.000000,  count: 6
Region 106 Avg IOU: 0.827354, Class: 0.753835, Obj: 0.004640, No Obj: 0.000023, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 82 Avg IOU: 0.686267, Class: 0.858541, Obj: 0.131316, No Obj: 0.000269, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.709705, Class: 0.678363, Obj: 0.138291, No Obj: 0.000164, .5R: 1.000000, .75R: 0.200000,  count: 5
Region 106 Avg IOU: 0.590620, Class: 0.782577, Obj: 0.001317, No Obj: 0.000031, .5R: 1.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: 0.646402, Class: 0.704681, Obj: 0.128878, No Obj: 0.000128, .5R: 1.000000, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.677538, Class: 0.652699, Obj: 0.102521, No Obj: 0.000129, .5R: 1.000000, .75R: 0.000000,  count: 4
Region 106 Avg IOU: 0.646431, Class: 0.979078, Obj: 0.026899, No Obj: 0.000041, .5R: 0.750000, .75R: 0.250000,  count: 4
Region 82 Avg IOU: 0.388562, Class: 0.895289, Obj: 0.019925, No Obj: 0.000135, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.657874, Class: 0.585324, Obj: 0.048060, No Obj: 0.000136, .5R: 1.000000, .75R: 0.500000,  count: 4
